school_year,district_id,school_id,school_number,core_code,individual school course_section,grade_level,Student Enrollment
2015,972,988,704,35020000007,89123,10,21
2015,972,988,704,35020000030,88861,10,2
2015,972,988,704,35020000030,88862,10,2
2015,972,988,704,35020000030,88863,10,4
2015,972,988,704,35020000030,88864,10,3
2015,972,988,704,35020000030,88891,10,2
2015,972,988,704,35020000030,88892,10,2
2015,992,1000,704,35020000007,85511,10,21
2015,992,1000,704,35020000007,85512,10,20
2015,992,1000,704,35020000007,85513,10,20
2015,992,1000,704,35020000007,85514,10,20
2015,992,1000,704,35020000007,85515,10,19
2015,992,1000,704,35020000030,85541,10,9
2015,992,1000,704,35020000030,85542,10,11
2015,1002,1025,716,32020000150,855071601,10,13
2015,1002,1025,716,32020000150,855071602,10,18
2015,1002,1025,716,35020000060,866571601,10,20
2015,1002,1036,720,35020000007,852772001,10,16
2015,1002,1036,720,35020000007,852772002,10,15
2015,1002,1036,720,35020000060,866672001,10,8
2015,1002,1036,720,35020000060,866672002,10,9
2015,1002,1036,720,35020000060,866672008,10,9
2015,1002,1036,720,35020000060,866672009,10,11
2015,1002,1036,720,35020013030,20116072011,10,11
2015,1002,1037,725,35020000030,852572501,10,8
2015,1002,1037,725,35020000030,852572502,10,5
2015,1002,1037,725,35020000030,852572503,10,5
2015,1002,186047,703,35020000007,852770301,10,4
2015,1002,186047,703,35020000030,852570303,10,6
2015,1002,186047,703,35020000030,852570304,10,5
2015,1002,186047,703,35020000030,868070301,10,8
2015,1002,186047,703,35020000030,868070302,10,4
2015,1050,1093,701,32020000216,28221 001M,10,1
2015,1050,1093,701,32020000216,28221 002M,10,1
2015,1050,1093,701,35020000007,27208 001,10,5
2015,1050,1093,701,35020000030,27210 001,10,19
2015,1050,1093,701,35020000030,27210 002,10,12
2015,1050,1093,701,35020000030,27211 001M,10,1
2015,1050,1093,701,35020000035,27301 001,10,2
2015,1050,1094,704,35020000007,27208 001,10,3
2015,1050,1094,704,35020000007,27208 002,10,8
2015,1050,1094,704,35020000030,27210 001M,10,4
2015,1050,1094,704,35020000030,27210 002M,10,5
2015,1050,1094,704,35020000030,27210 003M,10,5
2015,1050,1094,704,35020000030,27211 001M,10,2
2015,1050,1094,704,35020000030,27211 002M,10,1
2015,1050,1094,704,35020000035,27301 001,10,1
2015,1050,1094,704,35020000060,27214 001,10,11
2015,1050,1094,704,35020000060,27214 002,10,7
2015,1050,1095,706,35020000007,27208 001,10,17
2015,1050,1095,706,35020000007,27208 002,10,21
2015,1050,1095,706,35020000007,27208 003,10,25
2015,1050,1095,706,35020000007,27208 004,10,22
2015,1050,1095,706,35020000030,27210 001M,10,5
2015,1050,1095,706,35020000030,27210 002M,10,3
2015,1050,1095,706,35020000030,27211 001M,10,1
2015,1050,1095,706,35020013030,27210 001C,10,1
2015,1050,1095,706,35020013030,27211 002C,10,1
2015,1050,1096,708,35020000007,27208 001,10,6
2015,1050,1096,708,35020000007,27208 002,10,16
2015,1050,1096,708,35020000007,27208 003,10,15
2015,1050,1096,708,35020000007,27208 004,10,8
2015,1050,1096,708,35020000030,27210 001M,10,9
2015,1050,1096,708,35020000030,27210 002M,10,12
2015,1050,1096,708,35020000030,27210 003M,10,10
2015,1050,1096,708,35020000030,27211 001M,10,5
2015,1050,1096,708,35020000060,27214 001,10,14
2015,1050,1096,708,35020000060,27214 002,10,7
2015,1050,1096,708,35020013030,27210 002C,10,1
2015,1050,1096,708,35020013030,27211 001C,10,1
2015,1050,1418,760,35020000007,27208 003,10,1
2015,1050,1418,760,35020000007,27208 004,10,1
2015,1050,1418,760,35020000007,27208 005,10,1
2015,1050,1418,760,35020000007,27208 006,10,1
2015,1050,1418,760,35020000007,27208 007,10,2
2015,1107,1154,704,35020000007,652618001,10,8
2015,1107,1154,704,35020000007,652618002,10,5
2015,1107,1154,704,35020000007,652618003,10,8
2015,1107,1154,704,35020000007,652618004,10,11
2015,1107,1154,704,35020000007,652618005,10,6
2015,1107,1154,704,35020000030,652740001,10,1
2015,1107,1154,704,35020000030,652740002,10,1
2015,1107,1154,704,35020000030,652740003,10,3
2015,1107,1154,704,35020000060,652290001,10,9
2015,1107,1155,708,32020000216,652092001,10,1
2015,1107,1155,708,35020000030,652740001,10,4
2015,1107,1155,708,35020000030,652740003,10,1
2015,1107,1157,716,35020000007,652618001,10,24
2015,1107,1157,716,35020000007,6526180010,10,27
2015,1107,1157,716,35020000007,652618002,10,27
2015,1107,1157,716,35020000007,652618007,10,24
2015,1107,1157,716,35020000007,652618008,10,27
2015,1107,1157,716,35020000007,652618009,10,28
2015,1107,1157,716,35020000030,652740001,10,3
2015,1107,1157,716,35020000030,652740002,10,6
2015,1107,1157,716,35020000030,652740003,10,7
2015,1107,1161,750,35020000007,6526180071,10,1
2015,1107,186280,748,35020000007,6526180072,10,9
2015,1107,186280,748,35020000030,652740002,10,5
2015,1107,186280,748,35020000030,652740003,10,4
2015,1183,1208,703,35020000007,801701,10,10
2015,1183,1209,707,35020000030,851911,10,14
2015,1183,1209,707,35020000030,851912,10,11
2015,1183,1209,707,35020000030,851921,10,12
2015,1183,1209,707,35020000030,851922,10,7
2015,1222,1248,704,35020000030,7024001,10,7
2015,1222,1248,704,35020000030,7024002,10,6
2015,1222,1248,704,35020000030,7024003,10,6
2015,1222,1248,704,35020000030,7024004,10,7
2015,1222,1248,704,35020000030,7024011,10,6
2015,1222,1248,704,35020000030,7024012,10,4
2015,1222,1248,704,35020000030,7024013,10,3
2015,1222,1248,704,35020000030,7024015,10,6
2015,1222,1248,704,35020013030,7024042,10,4
2015,1222,1248,704,35020013030,7024043,10,1
2015,1222,1248,704,35020013030,7024044,10,2
2015,1222,1248,704,35020013030,7024046,10,4
2015,1222,1248,704,35020013030,7024047,10,1
2015,1222,1248,704,35020013030,7024048,10,3
2015,1222,1249,712,35020000007,7123252,10,2
2015,1222,1249,712,35020000007,7123253,10,6
2015,1222,1249,712,35020000007,7123254,10,2
2015,1222,1249,712,35020000030,7123141,10,7
2015,1222,1249,712,35020000030,7123142,10,3
2015,1222,1249,712,35020000030,7123143,10,4
2015,1222,1249,712,35020000030,7123161,10,5
2015,1222,1249,712,35020000030,7123162,10,6
2015,1222,1250,730,35020000007,5585473,10,1
2015,1222,1250,730,35020000007,5585475,10,1
2015,1222,1250,730,35020000007,5585476,10,1
2015,1222,1250,730,35020000007,5585477,10,1
2015,1222,1250,730,35020000007,5585478,10,1
2015,1222,186139,510,32020000150,518130M,10,1
2015,1222,186139,510,32020000150,518130M2,10,1
2015,1222,186139,510,35020000030,511540K121,10,1
2015,1222,186139,510,35020000030,512311K122,10,1
2015,1222,186139,510,35020000030,512311M,10,5
2015,1222,186139,510,35020000030,512311M2,10,4
2015,1222,186139,510,35020000030,518100M,10,1
2015,1261,1272,704,35020000030,66551,10,12
2015,1261,1272,704,35020000030,66552,10,10
2015,1261,1272,704,35020000030,66561,10,13
2015,1275,1289,704,35020000030,26201,10,15
2015,1275,1289,704,35020000030,26202,10,21
2015,1275,1289,704,35020000030,26203,10,20
2015,1275,1289,704,35020000060,82601,10,12
2015,1275,1289,704,35020000060,82602,10,11
2015,5496,5496,700,35020000060,90181,10,2
2015,10527,10527,700,32020000216,20851,10,1
2015,110575,110575,700,35020000030,802002,10,28
2015,160607,160607,700,35020000007,85021,10,13
2015,165608,165608,700,32020000216,CTBUG216T4,10,1
2015,165608,165608,700,32020000216,CTBUG216T5,10,1
2015,165608,165608,700,35020000030,CTSEG030S1,10,2
2015,165608,165608,700,35020000030,CTSEG030Y5,10,1
2015,165608,186389,710,35020000030,W868071102,10,16
2015,165608,186389,710,35020000060,W866672009,10,1
2015,165608,186389,710,35020013030,W20140071101,10,15
2015,165610,165610,700,35020000030,20201,10,12
2015,165615,165615,100,35020000007,CTE3921611,10,5
2015,165615,165615,100,35020000007,CTE3921612,10,1
2015,165615,165615,100,35020000030,CTE3421712,10,7
2015,185698,185698,100,35020000030,6871,10,6
2015,185698,185698,100,35020000030,7951,10,6
2015,185698,185698,100,35020000030,8413,10,4
2015,185698,185698,100,35020000030,9560,10,5
2015,185873,185873,700,35020000060,57602,10,7
2015,185874,185874,100,35020000030,22101,10,11
2015,185874,185874,100,35020000030,22102,10,6
2015,186006,186006,700,35020000030,TCH0601,10,1
2015,186006,186006,700,35020000060,TCH0401,10,2
2015,186006,186006,700,35020000060,TCH0403,10,20
2015,186056,733,702,35020000007,8320101,10,4
2015,186056,733,702,35020000007,8320102,10,8
2015,186056,736,705,32020000216,8316022,10,2
2015,186056,736,705,35020000007,8320115,10,4
2015,186056,736,705,35020000007,8320131,10,12
2015,186056,736,705,35020000060,8128111,10,3
2015,186056,736,705,35020000060,8128121,10,4
2015,186056,736,705,35020000060,8128134,10,7
2015,186056,736,705,35020013030,5711112,10,1
2015,186056,737,706,35020000007,8320101,10,3
2015,186056,737,706,35020000007,8320102,10,2
2015,186056,737,706,35020000007,8320103,10,4
2015,186056,737,706,35020000007,8320104,10,1
2015,186056,737,706,35020000007,8320105,10,7
2015,186056,737,706,35020000007,8320106,10,3
2015,186056,737,706,35020000030,8121001,10,4
2015,186056,737,706,35020000030,8121002,10,1
2015,186056,737,706,35020000030,8121003,10,5
2015,186056,186286,711,35020000007,8320101,10,2
2015,186056,186286,711,35020000007,8320102,10,6
2015,186056,186286,711,35020000030,8121101,10,9
2015,186056,186286,711,35020000030,8121102,10,10
2015,186113,186113,600,35020000030,5101,10,13
2015,186113,186113,600,35020000060,5031,10,16
2015,186170,186170,700,35020000035,802511,10,1
2015,186170,186170,700,35020000035,802512,10,1
2015,186170,186170,700,35020000035,802513,10,2
2015,186170,186170,700,35020000035,802515,10,2
2015,186170,186170,700,35020000035,80257,10,1
2015,186170,186170,700,35020000035,80258,10,1
2015,186170,186170,700,35020000035,80259,10,5
2015,186170,186170,700,35020000035,8025B1,10,2
2015,186170,186170,700,35020000035,8025B2,10,2
