,person_id,district_nbr,LEA,school_name,school_nbr,cert_endo_degree_desc,endo_receive_date,,,
,26326.702,13,Iron District,Cedar City High,704,Multimedia,9/25/2007,,,
,137273.578,30,Tooele District,Tooele Jr High,404,A+ (Computer Repair/Maintenance),10/22/2007,,,
,172250.352,7,Davis District,Syracuse Jr High,420,Computer Science - Level 2,10/22/2007,,,
,134206.74,7,Davis District,Davis High,708,Multimedia,12/13/2007,,,
,93249.208,35,Weber District,Roy High,708,Multimedia,2/20/2008,,,
,93249.208,35,Weber District,Weber Innovation High School,725,Multimedia,2/20/2008,,,
,93249.208,35,Weber District,Weber Online K-6,199,Multimedia,2/20/2008,,,
,45604.732,1,Alpine District,Pleasant Grove Jr High,416,A+ (Computer Repair/Maintenance),4/11/2008,,,
,45604.732,1,Alpine District,Pleasant Grove Jr High,416,A+ (Computer Repair/Maintenance),4/11/2008,,,
,148523.57,14,Jordan District,Oquirrh Hills Middle,409,Multimedia,4/11/2008,,,
,24618.856,7,Davis District,Mountain High,730,Introduction to Information Technology,4/30/2008,,,
,121368.536,33,Washington District,Dixie High,704,A+ (Computer Repair/Maintenance),5/29/2008,,,
,29264.8,A1,No. UT. Acad. for Math Engineering & Science,No. UT. Acad. for Math Engineering & Science,700,Multimedia,5/29/2008,,,
,29264.8,A1,No. UT. Acad. for Math Engineering & Science,No. UT. Acad. for Math Engineering & Science,700,Multimedia,5/29/2008,,,
,169908.854,19,Nebo District,Nebo Advanced Learning Center,747,Multimedia,6/17/2008,,,
,171180.868,12,Granite District,Granite Technical Institute,775,Multimedia,7/30/2008,,,
,121368.536,33,Washington District,Dixie High,704,A+ (Computer Repair/Maintenance),9/26/2008,,,
,27441.088,42,Canyons District,Alta High,702,A+ (Computer Repair/Maintenance),9/26/2008,,,
,45604.732,1,Alpine District,Pleasant Grove Jr High,416,Web Development,10/7/2008,,,
,45604.732,1,Alpine District,Pleasant Grove Jr High,416,Web Development,10/7/2008,,,
,172445.032,7,Davis District,Layton High,710,Multimedia,10/23/2008,,,
,134231.86,33,Washington District,Pine View High,720,Web Development,1/15/2009,,,
,134231.86,33,Washington District,Utah Online 7-12,500,Web Development,1/15/2009,,,
,170229.448,35,Weber District,Roy Jr High,404,Computer Science - Level 2,1/22/2009,,,
,9059.842,12,Granite District,Gearld Wright School,131,Computer Science - Level 2,2/24/2009,,,
,161170.548,12,Granite District,Skyline High,718,Computer Science - Level 2,3/19/2009,,,
,130885.248,36,Salt Lake District,West High,716,Computer Programming,4/7/2009,,,
,174867.228,19,Nebo District,Springville High,712,Multimedia,5/29/2009,,,
,13574.848,33,Washington District,Dixie High,704,Web Development,6/10/2009,,,
,9066.436,42,Canyons District,Canyons Technical Education Center,740,Computer Programming,7/16/2009,,,
,169610.868,38,Provo District,Centennial Middle,404,Multimedia,7/16/2009,,,
,27319.884,12,Granite District,Kearns High,714,A+ (Computer Repair/Maintenance),8/31/2009,,,
,27319.884,12,Granite District,Kearns High,714,Introduction to Information Technology,8/31/2009,,,
,27319.884,12,Granite District,Kearns High,714,Multimedia,8/31/2009,,,
,91235.84,83,Academy for Math Engineering & Science,Academy for Math Engineering & Science,700,Computer Programming,9/16/2009,,,
,130885.248,36,Salt Lake District,West High,716,Computer Science - Level 2,9/24/2009,,,
,30681.568,42,Canyons District,Jordan High,708,Multimedia,10/23/2009,,,
,55808.162,30,Tooele District,Stansbury High,720,Computer Programming,11/27/2009,,,
,172901.274,9F,Mountain Heights Academy,Mountain Heights Academy,600,Multimedia,2/18/2010,,,
,23700.092,4,Cache District,Green Canyon High School,703,Multimedia,3/9/2010,,,
,23700.092,4,Cache District,Green Canyon High School,703,Web Development,3/9/2010,,,
,176152.43,7,Davis District,Legacy Jr High,424,Computer Science - Level 2,6/1/2010,,,
,130929.836,31,Uintah District,Uintah High,704,Multimedia,6/3/2010,,,
,177672.818,1,Alpine District,Mountain Ridge Jr High,410,Computer Science - Level 2,6/17/2010,,,
,174822.326,13,Iron District,Canyon View High,712,Computer Science - Level 2,7/21/2010,,,
,129572.1,2C,Intech Collegiate High School,Intech Collegiate High School,600,Computer Science - Level 2,8/24/2010,,,
,171116.498,12,Granite District,Granger High,708,Multimedia,8/25/2010,,,
,31135.926,12,Granite District,Granite Technical Institute,775,Network+,10/13/2010,,,
,122939.164,14,Jordan District,Bingham High,704,Multimedia,10/21/2010,,,
,24919.982,17,Millard District,Millard High,708,Introduction to Information Technology,11/29/2010,,,
,19569.108,11,Grand District,Grand County High,704,Web Development,2/7/2011,,,
,175210.744,86,Pinnacle Canyon Academy,Pinnacle Canyon Academy,100,A+ (Computer Repair/Maintenance),3/3/2011,,,
,178120.268,36,Salt Lake District,Highland High,708,Computer Science - Level 2,3/24/2011,,,
,161170.548,12,Granite District,Skyline High,718,Computer Programming,3/30/2011,,,
,19569.108,11,Grand District,Grand County High,704,Multimedia,4/7/2011,,,
,178261.254,90,Tuacahn High School for the Performing Arts,Tuacahn High School for the Performing Arts,700,Multimedia,6/21/2011,,,
,171897.416,7,Davis District,Mountain High,730,Multimedia,7/22/2011,,,
,177111.386,82,Freedom Preparatory Academy,Freedom Preparatory Academy,100,Multimedia,8/23/2011,,,
,179775.99,18,Morgan District,Morgan School,104,Computer Science - Level 2,8/31/2011,,,
,91235.84,83,Academy for Math Engineering & Science,Academy for Math Engineering & Science,700,Introduction to Information Technology,8/31/2011,,,
,27704.22,17,Millard District,Delta High,704,A+ (Computer Repair/Maintenance),9/29/2011,,,
,26867.41,42,Canyons District,Diamond Ridge High School,750,A+ (Computer Repair/Maintenance),9/29/2011,,,
,22084.248,14,Jordan District,Jordan Academy for Technology and Careers - North,741,Introduction to Information Technology,9/29/2011,,,
,9066.436,42,Canyons District,Canyons Technical Education Center,740,Introduction to Information Technology,9/29/2011,,,
,26867.41,42,Canyons District,Diamond Ridge High School,750,Introduction to Information Technology,9/29/2011,,,
,161148.568,35,Weber District,Roy High,708,Multimedia,9/29/2011,,,
,105677.014,1B,Utah County Academy of Science,Utah County Academy of Science,700,Web Development,10/3/2011,,,
,31135.926,12,Granite District,Granite Technical Institute,775,Linux,2/14/2012,,,
,24398.114,7,Davis District,Mountain High,730,Multimedia,3/12/2012,,,
,26110.984,12,Granite District,Bonneville Jr High,402,Multimedia,3/14/2012,,,
,26110.984,12,Granite District,Eisenhower Jr High,411,Multimedia,3/14/2012,,,
,178158.89,3B,Beehive Science & Technology Academy,Beehive Science & Technology Academy,700,Computer Science - Level 2,4/6/2012,,,
,178080.076,35,Weber District,Bonneville High,701,Multimedia,5/3/2012,,,
,137283.626,31,Uintah District,Uintah High,704,Multimedia,6/27/2012,,,
,174838.968,36,Salt Lake District,Innovations High School,748,Multimedia,7/13/2012,,,
,9066.436,42,Canyons District,Canyons Technical Education Center,740,Oracle (Database Development),7/27/2012,,,
,170591.804,12,Granite District,Granger High,708,Multimedia,8/15/2012,,,
,28383.716,22,Park City District,Park City High,704,Computer Programming,9/4/2012,,,
,26867.41,42,Canyons District,Diamond Ridge High School,750,Cisco Certified Networking Associate (CCNA),9/24/2012,,,
,18441.848,19,Nebo District,Salem Hills High,706,Computer Programming,9/24/2012,,,
,169732.072,12,Granite District,Cottonwood High,702,Multimedia,9/24/2012,,,
,169732.072,12,Granite District,Skyline High,718,Multimedia,9/24/2012,,,
,73745.412,17,Millard District,Delta High,704,Multimedia,10/2/2012,,,
,26867.41,42,Canyons District,Diamond Ridge High School,750,Microsoft Certified Professional (MCP),10/30/2012,,,
,26867.41,42,Canyons District,Diamond Ridge High School,750,Security,10/30/2012,,,
,181299.204,7,Davis District,West Point Jr High,422,Computer Science - Level 2,1/28/2013,,,
,179733.6,23,Piute District,Piute High,708,Multimedia,1/29/2013,,,
,178375.864,A8,East Hollywood High,East Hollywood High,700,Multimedia,2/6/2013,,,
,27046.39,14,Jordan District,Jordan Academy for Technology & Careers South,744,Introduction to Information Technology,6/3/2013,,,
,27046.39,14,Jordan District,Jordan Academy for Technology and Careers - North,741,Introduction to Information Technology,6/3/2013,,,
